id,init_lai,up_limit,dn_limit,up_rate,dn_rate,root_depth,k_jan,k_feb,k_mar,k_apr,k_may,k_jun,k_jul,k_aug,k_sep,k_oct,k_nov,k_dec,name
37,1.0,1.0,1.0,1.0,1.0,0.5,0.188,0.162,0.225,0.311,0.297,0.404,0.408,0.578,0.641,0.663,0.585,0.396,Montane Riparian
39,1.0,2.5,0.75,1.5,0.75,0.75,0.034,0.105,0.127,0.227,0.242,0.377,0.298,0.377,0.314,0.277,0.193,0.099,Perennial Grassland
40,1.0,1.75,0.95,1.2,0.975,1.2,0.034,0.044,0.118,0.173,0.152,0.248,0.148,0.218,0.225,0.212,0.157,0.077,Pinyon-Juniper
42,1.0,1.4,0.95,1.25,0.9,1.4,0.214,0.171,0.116,0.232,0.273,0.477,0.437,0.609,0.631,0.646,0.607,0.472,Ponderosa Pine
43,1.0,1.0,1.0,1.0,1.0,0.0,0.444,0.305,0.25,0.243,0.426,0.63,0.658,0.764,0.856,0.873,0.856,0.718,Riverine
44,1.0,1.3,0.98,1.2,0.95,1.4,0.485,0.474,0.363,0.438,0.475,0.565,0.561,0.668,0.731,0.777,0.807,0.657,Redwood
45,1.0,1.5,0.85,1.35,0.8,0.75,0.101,0.133,0.121,0.212,0.193,0.482,0.591,0.689,0.52,0.513,0.478,0.324,Red Fir
48,1.0,1.5,0.85,1.35,0.9,0.75,0.089,0.122,0.098,0.163,0.125,0.347,0.462,0.529,0.41,0.394,0.378,0.215,Subalpine Conifer
49,1.0,1.0,1.0,1.0,1.0,0.0,0.023,0.093,0.386,0.653,0.272,0.084,0.056,0.117,0.114,0.1,0.065,0.032,Saline Emergent Wetland
50,1.0,2.5,0.9,1.15,0.85,1.5,0.017,0.138,0.298,0.034,0.266,0.838,0.9,0.89,0.881,0.487,0.686,0.619,Sagebrush
51,1.0,1.1,0.8,1.0,0.9,0.5,0.206,0.167,0.147,0.282,0.308,0.554,0.491,0.58,0.569,0.594,0.572,0.455,Sierran Mixed Conifer
53,1.0,1.5,0.95,1.2,1.0,0.5,0.121,0.1,0.239,0.216,0.176,0.247,0.305,0.355,0.411,0.402,0.339,0.199,Urban
55,1.0,1.75,0.95,1.5,0.75,0.75,0.063,0.058,0.087,0.093,0.108,0.218,0.267,0.363,0.317,0.275,0.212,0.132,Valley Oak Woodland
56,1.0,1.0,1.0,1.0,1.0,0.5,0.302,0.284,0.329,0.339,0.353,0.47,0.524,0.692,0.744,0.725,0.684,0.567,Valley Foothill Riparian
57,1.0,1.0,1.0,1.0,1.0,0.0,0.61,0.513,0.391,0.598,0.66,0.788,0.692,0.827,0.896,0.963,0.957,0.91,Water
58,1.0,1.1,0.8,1.0,0.975,0.75,0.212,0.202,0.174,0.391,0.367,0.633,0.6,0.657,0.568,0.622,0.607,0.474,White Fir
59,1.0,1.0,1.0,1.0,1.0,0.5,0.069,0.23,0.41,0.236,0.191,0.494,0.375,0.54,0.638,0.687,0.507,0.236,Wet Meadow
60,1.0,1.0,1.0,1.0,1.0,0.0,0.063,0.11,0.163,0.201,0.223,0.269,0.249,0.317,0.328,0.299,0.243,0.157,Cropland
66,1.0,1.0,1.0,1.0,1.0,0.0,0.067,0.075,0.127,0.117,0.194,0.351,0.324,0.311,0.41,0.509,0.491,0.316,Dryland Grain Crops
67,1.0,1.0,1.0,1.0,1.0,0.0,0.202,0.177,0.162,0.108,0.161,0.284,0.344,0.483,0.582,0.603,0.568,0.44,Deciduous Orchard
68,1.0,1.0,1.0,1.0,1.0,0.0,0.164,0.15,0.162,0.104,0.142,0.243,0.245,0.362,0.443,0.468,0.446,0.368,Evergreen Orchard
69,1.0,1.0,1.0,1.0,1.0,0.0,0.168,0.181,0.201,0.197,0.229,0.275,0.264,0.392,0.549,0.641,0.585,0.409,Irrigated Grain Crops
70,1.0,1.0,1.0,1.0,1.0,0.0,0.052,0.062,0.109,0.097,0.12,0.209,0.188,0.237,0.376,0.444,0.388,0.245,Irrigated Row and Field Crops
71,1.0,1.0,1.0,1.0,1.0,0.0,0.187,0.174,0.203,0.231,0.29,0.405,0.429,0.495,0.599,0.63,0.599,0.442,Irrigated Hayfield
72,1.0,1.25,0.9,1.25,0.9,0.5,0.052,0.108,0.205,0.252,0.201,0.269,0.304,0.309,0.282,0.218,0.18,0.099,Pasture
75,1.0,1.0,1.0,1.0,1.0,0.0,0.194,0.21,0.186,0.151,0.162,0.243,0.268,0.368,0.465,0.481,0.452,0.346,Vineyard
77,1.0,2.0,0.85,1.35,0.75,0.5,0.04,0.092,0.083,0.134,0.172,0.255,0.279,0.332,0.26,0.21,0.17,0.092,Eucalyptus
78,1.0,1.0,1.0,1.0,1.0,0.0,0.223,0.229,0.238,0.181,0.296,0.252,0.201,0.568,0.88,0.908,0.908,0.784,Rice
79,1.0,1.0,1.0,1.0,1.0,0.0,0.7,0.578,0.234,0.306,0.426,0.58,0.5,0.517,0.532,0.422,0.463,0.558,Marsh
80,1.0,2.0,0.8,1.5,0.9,0.25,0.056,0.114,0.098,0.094,0.153,0.335,0.373,0.37,0.281,0.235,0.169,0.084,Rock Cliff Scree
81,1.0,1.5,1.0,1.25,0.9,0.0,0.08,0.182,0.289,0.421,0.148,0.161,0.127,0.271,0.219,0.14,0.128,0.124,Unknown
